"business_id","topic_1_Facilities","topic_2_Courses","topic_3_Service_and_Accessories","topic_4_Membership_and_Price","topic_5_Trainer","topic_6_Time","topic_7_Environment","topic_8_Other","weighted_stars","summary_0","summary_1","summary_2","summary_3","summary_4","summary_5","summary_6","summary_7","summary_8","summary_9","summary_10","summary_11","summary_12","summary_13","summary_14","summary_15","summary_16","summary_17","summary_18","summary_19","summary_20","summary_21","summary_22","summary_23","summary_24","summary_25","summary_26","summary_27","summary_28","summary_29","summary_30","summary_31","review_number_id"
151074,0,0.333333333333333,0,0,0,0,0,0,5,0,0,0,0,6,1,0,5,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,5
134704,-0.0225806451612903,-0.0235294117647059,0.015,-0.0173913043478261,-0.0571428571428571,-0.0666666666666667,-0.533333333333333,0,3.00975609756098,31,2,10,19,17,0,3,14,20,1,4,15,23,0,3,20,7,0,2,5,6,0,2,4,3,0,2,1,87,0,0,87,15
69171,0,-0.05,0.5,0,0.5,0,0,0,5,1,0,0,1,6,0,2,4,2,1,0,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,15,0,0,15,3
151091,-0.0564102564102564,0,-0.0692307692307692,-0.05,-0.05,-0.0571428571428571,0,0,2.29655172413793,39,2,10,27,15,1,1,13,13,0,5,8,6,0,3,3,2,0,1,1,7,0,2,5,1,0,0,1,93,0,0,93,20
110134,-0.0444444444444445,0,0.00909090909090909,0.1,-1,0,0,0,3.68468468468468,36,2,9,25,3,0,0,3,11,1,0,10,10,1,0,9,1,0,1,0,8,1,1,6,2,0,0,2,49,0,0,49,12
77368,0,-0.025,0.125,-0.0428571428571429,0,0,0,0,3.2,1,0,0,1,4,0,1,3,8,1,0,7,7,0,2,5,3,0,0,3,2,0,0,2,0,0,0,0,31,0,0,31,6
167483,-0.0333333333333333,0,0,0,0.5,0,0,0,5,3,0,1,2,10,0,0,10,0,0,0,0,3,0,0,3,4,2,0,2,3,0,0,3,1,0,0,1,23,0,0,23,8
93770,0,-0.0333333333333333,0,-0.05,-0.1,0,0,0,3.22222222222222,0,0,0,0,12,1,3,8,1,0,0,1,2,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,13,0,0,13,3
167501,0,0.283333333333333,0,0,0,0,0,0,5,0,0,0,0,6,2,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,3
93774,0,-0.05,0.2,0,0,0,0,0,4.02083333333333,2,0,0,2,8,0,1,7,5,1,0,4,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,14,0,0,14,4
